City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,-10.71,100,100,6.58,RU,1643674237
Puerto Carreño,6.189,-67.4859,86.99,33,65,6.38,CO,1643674644
Richards Bay,-28.783,32.0377,74.35,82,61,9.89,ZA,1643674645
Rikitea,-23.1203,-134.9692,78.01,67,66,4.72,PF,1643674646
Port Alfred,-33.5906,26.891,74.95,96,100,5.82,ZA,1643674647
Kapit,2.0167,112.9333,73.56,98,100,2.15,MY,1643674648
Badiraguato,25.3667,-107.5167,74.7,25,56,6.91,MX,1643674649
Mandera,3.9366,41.867,75.6,58,87,14.0,KE,1643674649
Muros,42.7762,-9.0603,51.1,75,6,14.52,ES,1643674650
Haines Junction,60.7522,-137.5108,-7.51,97,89,0.22,CA,1643674652
Tuktoyaktuk,69.4541,-133.0374,-16.6,76,40,0.0,CA,1643674652
Cherskiy,68.75,161.3,-10.61,91,100,3.62,RU,1643674653
Kaitangata,-46.2817,169.8464,70.93,74,65,5.79,NZ,1643674485
Busselton,-33.65,115.3333,65.05,53,1,17.31,AU,1643674655
New Norfolk,-42.7826,147.0587,83.7,36,27,3.0,AU,1643674655
Barrow,71.2906,-156.7887,-14.78,76,0,8.05,US,1643674650
Severnoye,56.3491,78.3619,13.46,95,95,9.08,RU,1643674657
Ushuaia,-54.8,-68.3,42.46,81,75,23.02,AR,1643674657
Kapaa,22.0752,-159.319,78.78,70,0,3.44,US,1643674658
Mossamedes,-15.1961,12.1522,71.78,72,99,8.68,AO,1643674573
Ossora,59.2353,163.0719,19.96,94,100,13.98,RU,1643674660
Punta Arenas,-53.15,-70.9167,46.51,76,75,12.66,CL,1643674496
Albany,42.6001,-73.9662,19.58,66,15,1.9,US,1643674622
Faanui,-16.4833,-151.75,81.05,72,6,21.18,PF,1643674662
Bunia,1.5667,30.25,66.83,50,100,1.14,CD,1643674662
Bredasdorp,-34.5322,20.0403,73.27,88,23,11.5,ZA,1643674663
Qaanaaq,77.484,-69.3632,-21.96,53,0,11.34,GL,1643674664
George Town,5.4112,100.3354,79.9,86,20,2.3,MY,1643674511
Atuona,-9.8,-139.0333,78.46,77,14,18.12,PF,1643674666
Mataura,-46.1927,168.8643,75.47,50,65,1.88,NZ,1643674668
Chokurdakh,70.6333,147.9167,-13.92,95,100,2.24,RU,1643674559
Geraldton,-28.7667,114.6,73.81,53,3,23.02,AU,1643674669
Srednekolymsk,67.45,153.6833,-14.15,92,100,4.65,RU,1643674670
Bud,39.447,-86.1758,36.7,71,69,7.05,US,1643674671
Isangel,-19.55,169.2667,78.19,90,100,10.51,VU,1643674492
Avarua,-21.2078,-159.775,75.25,94,40,6.91,CK,1643674486
Port Macquarie,-31.4333,152.9167,85.89,66,8,3.29,AU,1643674673
Ballitoville,-29.539,31.2144,77.16,88,20,6.91,ZA,1643674674
Opuwo,-18.0607,13.84,62.46,63,100,7.0,NA,1643674675
Hasaki,35.7333,140.8333,41.29,40,44,4.47,JP,1643674506
Yangi Marg`ilon,40.4272,71.7189,27.82,80,95,4.61,UZ,1643674495
Ilulissat,69.2167,-51.1,8.62,72,75,12.66,GL,1643674677
Siderno,38.2779,16.302,57.15,77,65,9.33,IT,1643674678
Yellowknife,62.456,-114.3525,-10.44,86,20,6.91,CA,1643674584
Hobyo,5.3505,48.5268,77.13,82,38,12.93,SO,1643674679
Okhotsk,59.3833,143.3,6.8,75,94,16.44,RU,1643674680
Butaritari,3.0707,172.7902,81.45,79,78,13.31,KI,1643674681
Lālmohan,22.3384,90.7419,64.96,69,90,3.91,BD,1643674682
Cortez,37.3489,-108.5859,45.52,21,0,5.75,US,1643674682
Hithadhoo,-0.6,73.0833,82.11,75,26,11.68,MV,1643674683
Iqaluit,63.7506,-68.5145,-29.31,66,20,3.0,CA,1643674684
Whitehorse,60.7161,-135.0538,-1.89,64,0,5.99,CA,1643674578
Tuy Hoa,13.0833,109.3,74.32,91,46,6.67,VN,1643674614
Mācherla,16.4833,79.4333,65.8,84,17,2.73,IN,1643674686
Kalmunai,7.4167,81.8167,78.01,68,99,7.96,LK,1643674687
Chicama,-7.8447,-79.1469,66.74,69,32,6.62,PE,1643674637
Beasain,43.0502,-2.2009,47.86,85,100,11.3,ES,1643674688
Pevek,69.7008,170.3133,-17.48,97,92,0.81,RU,1643674689
La Ronge,55.1001,-105.2842,3.45,72,100,17.27,CA,1643674505
Ponca City,36.707,-97.0856,66.16,30,0,8.05,US,1643674422
Vestmannaeyjar,63.4427,-20.2734,41.72,79,90,36.44,IS,1643674691
Buala,-8.145,159.5921,84.92,67,96,3.91,SB,1643674692
Ambon City,-3.6954,128.1814,86.14,66,40,12.66,ID,1643674693
Houma,29.5958,-90.7195,61.0,64,75,11.5,US,1643674596
Qaqortoq,60.7167,-46.0333,27.1,76,97,19.42,GL,1643674694
Hobart,-42.8794,147.3294,84.06,51,40,3.0,AU,1643674533
Mahébourg,-20.4081,57.7,79.25,78,75,18.41,MU,1643674696
Upernavik,72.7868,-56.1549,-17.36,97,100,7.25,GL,1643674697
Hilo,19.7297,-155.09,80.33,61,40,10.36,US,1643674698
Meulaboh,4.1363,96.1285,75.97,88,42,2.64,ID,1643674699
Port Blair,11.6667,92.75,72.12,76,31,6.49,IN,1643674409
Baykit,61.67,96.37,-4.32,100,100,0.85,RU,1643674416
Saint Paul Harbor,57.79,-152.4072,29.71,80,100,5.75,US,1643674701
Toccoa,34.5773,-83.3324,47.84,39,0,0.0,US,1643674702
Batagay-Alyta,67.8006,130.4114,-21.48,100,98,3.2,RU,1643674703
Hermanus,-34.4187,19.2345,73.9,88,2,9.01,ZA,1643674704
Kidodi,-7.6036,37.0044,70.47,93,100,2.66,TZ,1643674705
Kahului,20.8947,-156.47,80.62,66,40,17.27,US,1643674444
Kindberg,47.5,15.45,34.39,93,76,5.21,AT,1643674706
Lanzhou,36.0564,103.7922,9.68,64,99,1.3,CN,1643674707
San Cristobal,7.7669,-72.225,73.58,81,66,2.42,VE,1643674708
Bengkulu,-3.8004,102.2655,75.85,86,100,3.87,ID,1643674709
Maceió,-9.6658,-35.7353,80.04,83,0,4.61,BR,1643674709
‘Ewa Beach,21.3156,-158.0072,80.55,58,0,15.99,US,1643674711
Hamilton,39.1834,-84.5333,36.23,68,0,0.0,US,1643674463
Dunedin,-45.8742,170.5036,65.8,82,82,14.0,NZ,1643674712
Vaini,-21.2,-175.2,86.16,79,40,9.22,TO,1643674495
Arraial do Cabo,-22.9661,-42.0278,75.16,94,75,3.44,BR,1643674654
Khatanga,71.9667,102.5,-28.84,100,44,2.91,RU,1643674714
Lavrentiya,65.5833,-171.0,-1.46,84,38,11.07,RU,1643674715
Castro,-24.7911,-50.0119,63.16,92,13,3.71,BR,1643674494
Jamestown,42.097,-79.2353,28.04,50,0,4.61,US,1643674500
Guerrero Negro,27.9769,-114.0611,65.75,48,21,11.79,MX,1643674717
Trairi,-3.2778,-39.2689,78.84,76,25,9.98,BR,1643674717
Nouakchott,18.0858,-15.9785,69.73,55,100,14.52,MR,1643674718
Oranjemund,-28.55,16.4333,67.12,84,0,7.65,NA,1643674498
Wewak,-3.5534,143.6268,79.75,76,100,3.18,PG,1643674719
Peterongan,-7.5394,112.2792,78.4,86,100,2.98,ID,1643674720
Kalabo,-14.97,22.6814,66.58,85,100,3.87,ZM,1643674721
Tuatapere,-46.1333,167.6833,75.81,48,75,0.58,NZ,1643674722
Adrar,20.5022,-10.0711,73.67,14,100,10.71,MR,1643674474
Beausejour,50.0622,-96.5167,24.8,90,100,12.53,CA,1643674723
Eilat,29.5581,34.9482,49.84,53,40,0.0,IL,1643674724
Sinegorsk,47.1667,142.5,16.14,84,93,12.86,RU,1643674725
Cape Town,-33.9258,18.4232,75.11,80,0,1.14,ZA,1643674469
Akureyri,65.6835,-18.0878,22.93,93,100,9.22,IS,1643674718
Itoman,26.1247,127.6694,63.37,61,75,8.05,JP,1643674727
Karlskrona,56.1616,15.5866,19.85,61,98,6.4,SE,1643674728
Denpasar,-8.65,115.2167,83.86,74,40,11.5,ID,1643674729
Treinta y Tres,-33.2333,-54.3833,62.42,62,7,9.48,UY,1643674729
Maniitsoq,65.4167,-52.9,7.32,87,99,10.76,GL,1643674730
Vostok,46.4856,135.8833,-3.24,94,99,3.71,RU,1643674731
Kruisfontein,-34.0033,24.7314,70.88,98,99,4.63,ZA,1643674732
Cidreira,-30.1811,-50.2056,73.33,85,26,3.89,BR,1643674733
Carnarvon,-24.8667,113.6333,82.47,65,1,16.11,AU,1643674734
Tabou,4.423,-7.3528,78.98,85,64,5.93,CI,1643674734
Thompson,55.7435,-97.8558,1.56,78,100,6.91,CA,1643674735
Pujilí,-0.95,-78.6833,48.38,100,75,3.44,EC,1643674736
Kendari,-3.945,122.4989,78.55,85,100,2.59,ID,1643674737
Severo-Kuril'sk,50.6789,156.125,29.05,74,100,21.43,RU,1643674738
Mathbaria,22.2876,89.9593,59.38,79,83,1.7,BD,1643674738
Manta,-0.95,-80.7333,76.78,83,75,2.3,EC,1643674739
Mar del Plata,-38.0023,-57.5575,63.88,59,0,0.0,AR,1643674556
Lunenburg,44.3835,-64.3155,15.22,86,54,6.91,CA,1643674741
Port Hedland,-20.3167,118.5667,86.05,79,100,1.14,AU,1643674742
Chenghai,23.4632,116.768,51.71,100,100,4.47,CN,1643674742
Bluff,-46.6,168.3333,75.79,80,37,3.31,NZ,1643674743
Malaṅgawā,26.8568,85.5581,52.92,70,0,1.92,NP,1643674635
Pokhara,28.2333,83.9833,50.07,82,97,1.83,NP,1643674745
Makkah al Mukarramah,21.4267,39.8261,61.0,64,19,9.75,SA,1643674747
Fes,34.0372,-4.9998,52.05,40,0,9.22,MA,1643674735
Sur,22.5667,59.5289,72.0,59,0,5.79,OM,1643674748
Coyhaique,-45.5752,-72.0662,59.61,58,75,9.22,CL,1643674584
Moose Factory,51.2585,-80.6094,-0.42,60,100,8.05,CA,1643674749
Khudumelapye,-23.8833,24.75,71.56,61,93,9.44,BW,1643674750
Warmbad,-28.45,18.7333,76.59,71,19,7.96,NA,1643674752
Saldanha,-33.0117,17.9442,66.25,77,16,6.76,ZA,1643674720
Verkhovyna,48.1557,24.7911,19.56,94,94,4.92,UA,1643674754
Ponta do Sol,32.6667,-17.1,66.0,83,32,12.95,PT,1643674647
Zhuanghe,39.7008,122.9911,18.45,73,47,10.92,CN,1643674755
Blagoyevo,63.3667,47.9167,0.75,98,95,3.83,RU,1643674756
Nanortalik,60.1432,-45.2371,25.61,81,100,16.84,GL,1643674757
Vardø,70.3705,31.1107,22.51,80,56,8.79,NO,1643674758
Quatre Cocos,-20.2078,57.7625,79.09,74,57,23.98,MU,1643674758
Saint George,37.1041,-113.5841,61.27,18,0,3.0,US,1643674759
Torbay,47.6666,-52.7314,32.58,74,100,11.5,CA,1643674761
Hong Kong,22.2855,114.1577,58.95,92,95,1.01,HK,1643674554
Kavaratti,10.5669,72.642,80.46,72,2,10.54,IN,1643674763
Abu Dhabi,24.4667,54.3667,66.96,94,40,3.44,AE,1643674506
Te Anau,-45.4167,167.7167,72.43,44,92,2.15,NZ,1643674765
Narsaq,60.9167,-46.05,26.82,88,99,5.66,GL,1643674766
Verkhnevilyuysk,63.4453,120.3167,-30.37,100,97,3.76,RU,1643674766
Tarján,47.6104,18.5107,38.21,96,97,9.98,HU,1643674767
Olafsvik,64.8945,-23.7142,25.84,80,87,23.2,IS,1643674481
Misratah,32.3754,15.0925,55.56,40,51,17.0,LY,1643674769
Sire,12.9299,5.2043,64.45,11,1,14.9,NG,1643674771
Zverinogolovskoye,54.4586,64.8542,6.75,98,80,6.85,RU,1643674771
Sawākin,19.1059,37.3321,68.79,56,89,14.67,SD,1643674773
Kytmanovo,53.4593,85.4479,9.27,97,100,2.77,RU,1643674774
Genhe,50.7833,121.5167,-15.99,100,93,2.44,CN,1643674775
Kuvandyk,51.4781,57.3552,10.94,98,98,3.47,RU,1643674776
Koumac,-20.5667,164.2833,84.33,63,99,8.25,NC,1643674776
Shimoda,34.6667,138.95,48.56,58,31,14.76,JP,1643674777
Līsakovsk,52.5369,62.4936,16.9,95,100,6.46,KZ,1643674778
Hutang,31.5333,119.4833,37.53,57,98,6.87,CN,1643674779
Lebu,-37.6167,-73.65,58.14,74,2,17.34,CL,1643674780
Provideniya,64.3833,-173.3,6.91,61,75,24.61,RU,1643674781
Santiago de Cao,-7.9589,-79.2392,68.13,83,75,11.5,PE,1643674782
Saint-Philippe,-21.3585,55.7679,76.59,80,100,14.81,RE,1643674782
Vila Velha,-20.3297,-40.2925,75.15,88,100,6.91,BR,1643674784
Inhambane,-23.865,35.3833,75.52,83,37,6.51,MZ,1643674485
Ixtapa,20.7,-105.2,76.23,73,0,13.8,MX,1643674785
Ziyang,29.2497,117.8547,39.96,97,100,2.17,CN,1643674786
Montrose,38.4166,-108.2673,34.79,56,35,2.48,US,1643674564
Abashiri,44.0213,144.2697,10.69,72,20,5.75,JP,1643674788
Bonnyville,54.2668,-110.735,-0.6,87,100,14.47,CA,1643674505
Usinsk,65.9939,57.5281,0.37,98,100,8.21,RU,1643674789
Saskylakh,71.9167,114.0833,-28.8,100,80,2.24,RU,1643674790
Mujiayingzi,42.1167,118.7833,4.05,73,1,6.38,CN,1643674792
Kirakira,-10.4544,161.9205,84.63,73,87,3.53,SB,1643674793
Puerto Ayora,-0.7393,-90.3518,74.55,93,72,1.01,EC,1643674793
Saryg-Sep,51.5,95.6,-25.55,99,64,3.15,RU,1643674795
Dikson,73.5069,80.5464,-2.56,90,100,18.07,RU,1643674570
Inongo,-1.95,18.2667,74.93,64,41,2.8,CD,1643674797
Aklavik,68.2191,-135.0107,1.4,78,75,10.36,CA,1643674798
Necochea,-38.5473,-58.7368,60.04,53,44,7.81,AR,1643674798
Sibu,2.3,111.8167,77.31,94,40,3.44,MY,1643674799
Altukhovo,52.67,34.36,30.47,96,100,9.78,RU,1643674800
Teguise,29.0605,-13.564,66.42,52,97,12.66,ES,1643674801
Esmeraldas,-19.7625,-44.3139,70.84,93,100,1.61,BR,1643674802
Marsá Maţrūḩ,31.3525,27.2453,55.83,67,68,15.52,EG,1643674803
Caraquet,47.7941,-64.9386,10.35,81,63,13.22,CA,1643674803
Arlit,18.7369,7.3853,54.16,21,0,3.98,NE,1643674804
São Filipe,14.8961,-24.4956,75.04,69,100,5.35,CV,1643674806
Padang,-0.9492,100.3543,75.25,88,66,2.06,ID,1643674807
Eyl,7.9803,49.8164,75.24,81,40,13.33,SO,1643674807
Wasco,35.5941,-119.341,59.13,44,100,3.74,US,1643674576
Uvinza,-5.1036,30.3911,65.48,99,100,2.39,TZ,1643674809
Port Lincoln,-34.7333,135.8667,64.49,60,72,21.59,AU,1643674810
Oeiras do Pará,-2.0031,-49.8544,73.8,91,92,2.33,BR,1643674810
Requena,39.4883,-1.1004,50.13,58,1,5.82,ES,1643674811
Atakpamé,7.5333,1.1333,71.83,30,100,2.55,TG,1643674812
East London,-33.0153,27.9116,77.18,73,100,2.71,ZA,1643674813
Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,80,100,13.42,RU,1643674814
Chui,-33.6971,-53.4616,63.1,63,22,9.1,UY,1643674808
Dingle,10.9995,122.6711,77.63,86,99,9.71,PH,1643674815
Pāonta Sāhib,30.45,77.6167,50.59,61,0,4.07,IN,1643674816
Sheridan,44.8333,-106.9173,37.58,31,100,5.01,US,1643674817
Lagoa da Canoa,-9.8297,-36.7378,75.78,77,7,10.02,BR,1643674818
Bethel,41.3712,-73.414,24.66,62,0,0.0,US,1643674818
Manado,1.487,124.8455,79.57,83,20,2.3,ID,1643674819
Lady Frere,-31.7031,27.2329,66.58,86,100,4.97,ZA,1643674820
Falkenberg,56.9055,12.4912,34.95,69,97,8.46,SE,1643674820
Yambio,4.5721,28.3955,74.53,30,83,2.3,SS,1643674821
Quaraí,-30.3875,-56.4514,79.48,46,5,15.35,BR,1643674643
Lagoa,39.05,-27.9833,58.46,77,33,23.49,PT,1643674822
‘Āhuimanu,21.4447,-157.8378,80.31,63,0,3.0,US,1643674823
Codrington,-38.2667,141.9667,63.19,62,71,20.49,AU,1643674824
Touros,-5.1989,-35.4608,79.7,73,62,12.17,BR,1643674825
Beringovskiy,63.05,179.3167,6.24,82,96,17.58,RU,1643674807
Verkhnyaya Tishanka,51.3239,40.5328,29.01,93,100,15.73,RU,1643674826
Aksu,41.1231,80.2644,24.8,44,18,3.71,CN,1643674827
Mergen,49.1833,125.2167,-17.43,100,78,0.65,CN,1643674828
Helong,42.5397,128.9972,13.14,77,98,2.44,CN,1643674829
Souillac,-20.5167,57.5167,79.36,78,75,18.41,MU,1643674830
Port-Cartier,50.0334,-66.8654,3.74,91,61,7.43,CA,1643674831
Ribeira Grande,38.5167,-28.7,59.83,75,14,14.32,PT,1643674801
La Primavera,5.4906,-70.4092,84.29,32,71,5.19,CO,1643674832
Sal Rei,16.1833,-22.9167,70.36,78,100,11.32,CV,1643674833
Acapulco de Juárez,16.8634,-99.8901,82.22,65,20,9.22,MX,1643674834
Correntina,-13.3433,-44.6367,70.02,89,77,0.98,BR,1643674835
Pangnirtung,66.1451,-65.7125,-30.37,94,96,3.69,CA,1643674835
Hokitika,-42.7167,170.9667,71.08,57,100,6.69,NZ,1643674836
Aban,56.67,96.06,-15.18,100,77,3.13,RU,1643674837
Hirara,24.8,125.2833,64.67,68,75,11.5,JP,1643674838
Ucluelet,48.9329,-125.5528,45.09,83,9,1.99,CA,1643674839
Nhulunbuy,-12.2333,136.7667,84.81,74,75,18.41,AU,1643674839
San Patricio,28.017,-97.5169,69.78,97,97,11.1,US,1643674722
Susanville,40.4163,-120.653,47.8,41,0,5.99,US,1643674744
Nabire,-3.3667,135.4833,78.21,80,100,0.56,ID,1643674841
Sterling,39.0062,-77.4286,32.14,62,100,8.05,US,1643674596
Atambua,-9.1061,124.8925,76.46,82,97,13.06,ID,1643674807
Russell,32.3502,-85.1999,56.8,57,0,0.0,US,1643674844
Seryshevo,51.0933,128.3786,-14.15,97,14,4.81,RU,1643674845
Chapais,49.7834,-74.8492,-16.82,99,79,3.04,CA,1643674565
Alofi,-19.0595,-169.9187,78.69,83,75,6.91,NU,1643674847
Neustrelitz,53.3667,13.0833,32.81,97,100,8.25,DE,1643674848
Porgera,-5.4667,143.2,53.53,66,100,3.18,PG,1643674848
Taoudenni,22.6783,-3.9836,67.66,8,68,12.66,ML,1643674849
Port Elizabeth,-33.918,25.5701,73.09,100,100,8.05,ZA,1643674850
Dawlatabad,36.4141,64.9053,43.72,44,0,4.5,AF,1643674851
Barpeta,26.3167,91.0,53.69,59,65,2.95,IN,1643674852
Matola,-25.9622,32.4589,76.51,88,3,2.66,MZ,1643674853
Krefeld,51.3333,6.5667,39.58,86,0,5.99,DE,1643674854
Matara,5.9485,80.5353,73.06,89,16,9.13,LK,1643674854
Huilong,31.8111,121.655,45.03,58,92,9.22,CN,1643674855
Motygino,58.1831,94.7592,-7.46,99,71,2.26,RU,1643674856
Hambantota,6.1241,81.1185,74.91,81,21,13.0,LK,1643674857
Yulara,-25.2406,130.9889,69.64,100,75,17.27,AU,1643674857
Hofn,64.2539,-15.2082,30.36,86,97,8.63,IS,1643674858
Rørvik,64.8621,11.2373,28.26,84,100,26.82,NO,1643674859
Aswān,24.0934,32.907,52.07,54,0,7.99,EG,1643674860
Philadelphia,39.9523,-75.1638,28.72,65,0,8.05,US,1643674729
Ahipara,-35.1667,173.1667,71.6,79,99,15.5,NZ,1643674861
Wuxue,29.8506,115.5525,40.15,90,100,0.98,CN,1643674862
Vanimo,-2.6741,141.3028,81.05,69,100,5.19,PG,1643674863
Safi,32.2994,-9.2372,61.86,57,0,14.45,MA,1643674865
Liberty,31.8335,-81.5004,55.51,47,75,0.0,US,1643674866
